"Item","Total","Missing","Available"
"失活的管珊瑚块",1,1,0
"失活的脑纹珊瑚",1,1,0
"失活的脑纹珊瑚块",1,1,0
"失活的脑纹珊瑚扇",1,1,0
"失活的鹿角珊瑚",1,1,0
"失活的鹿角珊瑚块",1,1,0
"安山岩台阶",1,1,0
"安山岩墙",1,1,0
"安山岩楼梯",1,1,0
"小型紫晶芽",1,1,0
"干海带块",1,1,0
"干草块",1,1,0
"平滑玄武岩",1,1,0
"平滑石头台阶",1,1,0
"平滑石英台阶",1,1,0
"平滑石英块",1,1,0
"平滑石英楼梯",1,1,0
"平滑砂岩",1,1,0
"平滑砂岩台阶",1,1,0
"平滑砂岩楼梯",1,1,0
"平滑红砂岩台阶",1,1,0
"平滑红砂岩楼梯",1,1,0
"开裂的铁砧",1,1,0
"损坏的铁砧",1,1,0
"斑驳的涂蜡切制铜台阶",1,1,0
"斑驳的涂蜡切制铜块",1,1,0
"斑驳的涂蜡切制铜楼梯",1,1,0
"斑驳的涂蜡铜块",1,1,0
"方解石",1,1,0
"暗海晶石",1,1,0
"暗海晶石台阶",1,1,0
"暗海晶石楼梯",1,1,0
"末地石砖",1,1,0
"末地石砖台阶",1,1,0
"末地石砖墙",1,1,0
"末地石砖楼梯",1,1,0
"杜鹃树叶",1,1,0
"杜鹃花丛",1,1,0
"棕色地毯",1,1,0
"棕色旗帜",1,1,0
"棕色染色玻璃板",1,1,0
"棕色蘑菇方块",1,1,0
"橙色地毯",1,1,0
"橙色旗帜",1,1,0
"橙色染色玻璃板",1,1,0
"橡木",1,1,0
"橡木台阶",1,1,0
"橡木按钮",1,1,0
"橡木木板",1,1,0
"橡木楼梯",1,1,0
"橡木门",1,1,0
"橡树树苗",1,1,7
"气泡珊瑚",1,1,0
"气泡珊瑚块",1,1,0
"氧化的涂蜡切制铜台阶",1,1,0
"氧化的涂蜡切制铜块",1,1,0
"氧化的涂蜡切制铜楼梯",1,1,0
"氧化的涂蜡铜块",1,1,0
"海晶石",1,1,0
"海晶石台阶",1,1,0
"海晶石墙",1,1,0
"海晶石楼梯",1,1,0
"海晶石砖",1,1,0
"海晶石砖台阶",1,1,0
"海晶石砖楼梯",1,1,0
"海绵",1,1,0
"海龟蛋",1,1,0
"涂蜡切制铜台阶",1,1,0
"涂蜡切制铜块",1,1,0
"涂蜡切制铜楼梯",1,1,0
"涂蜡铜块",1,1,0
"淡灰色地毯",1,1,0
"淡灰色旗帜",1,1,0
"淡灰色染色玻璃板",1,1,0
"淡蓝色地毯",1,1,0
"淡蓝色旗帜",1,1,0
"淡蓝色染色玻璃板",1,1,0
"深层煤矿石",1,1,0
"深层红石矿石",1,1,20
"深层绿宝石矿石",1,1,0
"深层金矿石",1,1,0
"深层钻石矿石",1,1,10
"深层铁矿石",1,1,1
"深层铜矿石",1,1,4
"深层青金石矿石",1,1,0
"深板岩圆石台阶",1,1,0
"深板岩圆石墙",1,1,0
"深板岩圆石楼梯",1,1,0
"深板岩瓦",1,1,0
"深板岩瓦台阶",1,1,0
"深板岩瓦墙",1,1,0
"深板岩瓦楼梯",1,1,0
"深板岩砖",1,1,0
"深板岩砖台阶",1,1,0
"深板岩砖墙",1,1,0
"深板岩砖楼梯",1,1,0
"深色橡木",1,1,0
"深色橡木压力板",1,1,0
"深色橡木台阶",1,1,0
"深色橡木告示牌",1,1,0
"深色橡木按钮",1,1,0
"深色橡木木板",1,1,0
"深色橡木栅栏",1,1,0
"深色橡木栅栏门",1,1,0
"深色橡木楼梯",1,1,0
"深色橡树树叶",1,1,0
"深色橡树树苗",1,1,0
"湿海绵",1,1,0
"滨菊",1,1,0
"滴水石块",1,1,22
"火把",1,1,0
"火珊瑚",1,1,0
"火珊瑚块",1,1,0
"灰化土",1,1,0
"灰色地毯",1,1,0
"灰色旗帜",1,1,0
"灰色染色玻璃板",1,1,0
"灵魂土",1,1,0
"灵魂火把",1,1,0
"灵魂灯笼",1,1,0
"灵魂营火",1,1,0
"烟熏炉",1,1,0
"煤矿石",1,1,90
"熔岩桶",1,1,0
"白桦木",1,1,0
"白桦木台阶",1,1,0
"白桦木按钮",1,1,0
"白桦木板",1,1,0
"白桦木栅栏",1,1,0
"白桦木楼梯",1,1,0
"白桦木活板门",1,1,0
"白桦树叶",1,1,0
"白桦树苗",1,1,0
"盛开的杜鹃树叶",1,1,0
"盛开的杜鹃花丛",1,1,0
"石头台阶",1,1,0
"石头楼梯",1,1,0
"石砖",1,1,0
"石砖台阶",1,1,0
"石砖墙",1,1,0
"石砖楼梯",1,1,0
"砂土",1,1,0
"砂岩",1,1,0
"砂岩台阶",1,1,0
"砂岩墙",1,1,0
"砂岩楼梯",1,1,0
"砂轮",1,1,0
"磁石",1,1,0
"磨制安山岩台阶",1,1,0
"磨制安山岩楼梯",1,1,0
"磨制深板岩",1,1,0
"磨制深板岩台阶",1,1,0
"磨制深板岩墙",1,1,0
"磨制深板岩楼梯",1,1,0
"磨制玄武岩",1,1,0
"磨制花岗岩",1,1,0
"磨制花岗岩台阶",1,1,0
"磨制花岗岩楼梯",1,1,0
"磨制闪长岩",1,1,0
"磨制闪长岩台阶",1,1,0
"磨制闪长岩楼梯",1,1,0
"磨制黑石",1,1,0
"磨制黑石压力板",1,1,0
"磨制黑石台阶",1,1,0
"磨制黑石按钮",1,1,0
"磨制黑石楼梯",1,1,0
"磨制黑石砖",1,1,0
"磨制黑石砖台阶",1,1,0
"磨制黑石砖墙",1,1,0
"磨制黑石砖楼梯",1,1,0
"竹子",1,1,0
"管珊瑚",1,1,0
"管珊瑚块",1,1,0
"粉红色旗帜",1,1,0
"粉红色染色玻璃板",1,1,0
"粗金块",1,1,0
"粗铁块",1,1,0
"粗铜块",1,1,0
"紫水晶簇",1,1,0
"紫珀台阶",1,1,0
"紫珀块",1,1,0
"紫珀柱",1,1,0
"紫珀楼梯",1,1,0
"紫色地毯",1,1,0
"紫色旗帜",1,1,0
"紫色染色玻璃板",1,1,0
"红石矿石",1,1,0
"红砂岩",1,1,0
"红砂岩台阶",1,1,0
"红砂岩墙",1,1,0
"红砂岩楼梯",1,1,0
"红砖台阶",1,1,0
"红砖块",1,1,0
"红砖墙",1,1,0
"红砖楼梯",1,1,0
"红色下界砖台阶",1,1,0
"红色下界砖块",1,1,0
"红色下界砖墙",1,1,0
"红色下界砖楼梯",1,1,0
"红色地毯",1,1,0
"红色旗帜",1,1,0
"红色染色玻璃板",1,1,0
"红色蘑菇方块",1,1,0
"织布机",1,1,0
"绊线钩",1,1,0
"绯红木台阶",1,1,0
"绯红木告示牌",1,1,0
"绯红木按钮",1,1,0
"绯红木板",1,1,0
"绯红木栅栏",1,1,0
"绯红木栅栏门",1,1,0
"绯红木楼梯",1,1,0
"绯红木活板门",1,1,0
"绯红木门",1,1,0
"绯红菌",1,1,0
"绯红菌核",1,1,0
"绿宝石矿石",1,1,0
"绿色地毯",1,1,0
"绿色旗帜",1,1,0
"绿色染色玻璃板",1,1,0
"脑纹珊瑚",1,1,0
"脑纹珊瑚块",1,1,0
"花岗岩台阶",1,1,0
"花岗岩墙",1,1,0
"花岗岩楼梯",1,1,0
"苔石",1,1,0
"苔石台阶",1,1,0
"苔石墙",1,1,0
"苔石楼梯",1,1,0
"苔石砖",1,1,0
"苔石砖台阶",1,1,0
"苔石砖墙",1,1,0
"苔石砖楼梯",1,1,0
"苔藓地毯",1,1,0
"苦力怕的头",1,1,0
"菌丝",1,1,0
"营火",1,1,0
"蓝色地毯",1,1,0
"蓝色旗帜",1,1,0
"蓝色染色玻璃板",1,1,0
"蘑菇柄",1,1,0
"蛋糕",1,1,0
"蜂箱",1,1,0
"蜜脾块",1,1,0
"裂纹下界砖块",1,1,0
"裂纹深板岩瓦",1,1,0
"裂纹深板岩砖",1,1,0
"裂纹石砖",1,1,0
"裂纹磨制黑石砖",1,1,0
"西瓜",1,1,0
"诡异木压力板",1,1,0
"诡异木台阶",1,1,0
"诡异木告示牌",1,1,0
"诡异木按钮",1,1,0
"诡异木板",1,1,0
"诡异木栅栏",1,1,0
"诡异木栅栏门",1,1,0
"诡异木楼梯",1,1,0
"诡异木活板门",1,1,0
"诡异菌",1,1,0
"诡异菌核",1,1,0
"轻质测重压力板",1,1,0
"远古残骸",1,1,0
"遮光玻璃",1,1,0
"金合欢木",1,1,0
"金合欢木压力板",1,1,0
"金合欢木台阶",1,1,0
"金合欢木告示牌",1,1,0
"金合欢木按钮",1,1,0
"金合欢木板",1,1,0
"金合欢木栅栏",1,1,0
"金合欢木栅栏门",1,1,0
"金合欢木楼梯",1,1,0
"金合欢树叶",1,1,0
"金合欢树苗",1,1,0
"金矿石",1,1,0
"錾制下界砖块",1,1,0
"錾制深板岩",1,1,0
"錾制石砖",1,1,0
"錾制砂岩",1,1,0
"錾制磨制黑石",1,1,0
"錾制红砂岩",1,1,0
"钻石块",1,1,0
"钻石矿石",1,1,0
"铁栏杆",1,1,0
"铁矿石",1,1,6
"铜矿石",1,1,69
"锁链",1,1,0
"锈蚀的涂蜡切制铜台阶",1,1,0
"锈蚀的涂蜡切制铜块",1,1,0
"锈蚀的涂蜡切制铜楼梯",1,1,0
"锈蚀的涂蜡铜块",1,1,0
"锻造台",1,1,0
"镶金黑石",1,1,0
"闪长岩台阶",1,1,0
"闪长岩墙",1,1,0
"闪长岩楼梯",1,1,0
"阳光探测器",1,1,0
"附魔台",1,1,0
"陷阱箱",1,1,0
"雕刻过的南瓜",1,1,0
"雪块",1,1,0
"青色地毯",1,1,0
"青色旗帜",1,1,0
"青色染色玻璃板",1,1,0
"青金石块",1,1,0
"青金石矿石",1,1,2
"骷髅头颅",1,1,0
"高炉",1,1,0
"鹿角珊瑚",1,1,0
"鹿角珊瑚块",1,1,0
"黄绿色地毯",1,1,0
"黄绿色旗帜",1,1,0
"黄绿色染色玻璃板",1,1,0
"黄色地毯",1,1,0
"黄色旗帜",1,1,0
"黄色染色玻璃板",1,1,0
"黏土块",1,1,0
"黑石台阶",1,1,0
"黑石墙",1,1,0
"黑石楼梯",1,1,0
"黑色地毯",1,1,0
"黑色旗帜",1,1,0
"黑色染色玻璃板",1,1,0
"龙首",1,1,0
